field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,-0.1103,0.0,0.0929,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.3777,0.0,0.0542,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-0.1058,0.0,0.2785,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.1889,0.0,-0.0328,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-0.0352,0.0,0.0784,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,0.5313,0.0,0.1963,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.1309,0.0,-0.1297,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.2012,0.0,0.0502,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.165,0.0,-0.2542,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.1591,0.0,-0.0128,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,-0.0627,0.0,0.0894,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,0.3499,0.0,0.4247,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,0.54,0.0,0.1679,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.328,0.0,-0.1314,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.4327,0.0,-0.9203,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.5547,0.0,-0.0292,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,1.4508,0.0,0.033,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,0.0107,0.0,-0.1816,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.1109,0.0,-0.2056,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,0.1233,0.0,-0.3283,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.4603,0.0,0.2684,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,-0.3331,0.0,-0.4531,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.8853,0.0,-0.0523,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.8973,0.0,0.0375,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,2,0.146,0.0,0.0245,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.0837,0.0,0.0218,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,4,-0.5345,0.0,0.0303,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,5,-0.9732,0.0,0.0606,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.1872,0.0,-0.01,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.5983,0.0,0.0091,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.2644,0.0,0.0245,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,0.1188,0.0,0.0173,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.4294,0.0,0.0395,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,2.0873,0.0,0.0333,0.0,1
REF_0524-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.7095,0.0,-0.0273,0.0,1
