field,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.09422,0.025478,0.18078,0.018164,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.02696,0.06419,-0.06732,0.015621,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.25922,0.117122,0.43684,0.014732,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.25642,0.07893,0.6305,0.008512,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.03376,0.072068,0.53856,0.007796,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.32034,0.048511,-0.03116,0.011424,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.26834,0.041385,-0.50632,0.00725,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.04214,0.083171,0.01274,0.032648,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.0866,0.075777,0.42388,0.009409,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.14372,0.065309,0.60038,0.005756,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,0.39704,0.116166,0.48264,0.036515,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,0.15568,0.097736,-0.001,0.011578,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.05092,0.039451,-0.06402,0.01062,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,0.06606,0.131152,0.07034,0.017751,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,0.31298,0.127307,0.01218,0.008419,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.233,0.020024,0.26752,0.002712,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.21114,0.058716,0.01674,0.013796,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.32338,0.025673,0.16416,0.028573,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,-0.34584,0.068052,0.251,0.011297,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.08316,0.151862,-0.10006,0.006475,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,-0.0507,0.048036,0.09134,0.008071,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.0465,0.070456,-0.2071,0.005071,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.32002,0.108671,0.06638,0.011566,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.86336,0.119081,0.10828,0.01132,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,1.54378,0.066046,0.50518,0.013308,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,1.47352,0.132533,0.22702,0.014316,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,3.59082,0.060798,-0.12932,0.010097,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,1.73368,0.092524,-0.87534,0.00354,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,0.29212,0.064806,-0.00032,0.007304,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,0.63584,0.067144,0.11932,0.017176,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,1.96586,0.288887,-0.11344,0.019074,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,4.25144,0.095541,-0.1372,0.017086,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,5.2731,0.135086,-0.28028,0.011206,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,1.1442,0.140814,0.33332,0.010033,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,1.29754,0.101734,-0.27022,0.047582,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.03474,0.098839,-0.09596,0.027666,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.03596,0.025723,0.02162,0.005602,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,2,0.01036,0.059676,0.0367,0.006158,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,3,0.26904,0.113451,-0.00464,0.016411,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.26606,0.086082,0.03422,0.004276,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,5,0.03684,0.074512,0.05028,0.003091,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.32334,0.047636,-0.01918,0.004263,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,7,0.26254,0.042092,-0.00788,0.010844,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,8,0.05502,0.089002,-0.0238,0.029636,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.084,0.079899,0.00042,0.014107,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.16686,0.066656,0.02114,0.008592,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,11,0.46132,0.131999,0.03846,0.005496,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,12,0.19214,0.093491,-0.0602,0.015505,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,13,-0.03576,0.045534,-0.0352,0.00216,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,14,0.05196,0.140918,-0.03858,0.004807,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,15,0.26194,0.145063,0.01682,0.007629,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.22246,0.030201,0.03144,0.003838,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.25478,0.056712,0.05366,0.002817,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,18,0.30994,0.018303,-0.03874,0.006224,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,19,-0.40112,0.092968,-0.02974,0.00295,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,20,0.04268,0.154171,-0.00138,0.001725,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,21,-0.05616,0.054969,0.0628,0.007309,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,22,-0.04906,0.078249,0.0707,0.005788,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.3599,0.103437,0.05984,0.003326,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,24,1.03568,0.150118,-0.0213,0.004618,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,25,1.61202,0.063553,-0.0054,0.005223,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,26,1.57696,0.120972,0.0189,0.00672,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,27,3.59012,0.060901,0.04242,0.003351,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,28,1.704,0.111161,0.01904,0.001045,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,29,0.29198,0.063731,0.018,0.008475,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,30,0.70792,0.073775,-0.01016,0.00927,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,31,2.14698,0.251918,0.03978,0.007484,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,32,4.36052,0.073928,0.03208,0.007361,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,33,5.3076,0.128685,0.05306,0.001214,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,34,1.1487,0.116609,0.08328,0.006191,5
REF_1212-28,closepack36,920.5,0.9,45.0,-45.0,lcal,35,1.18954,0.080793,1.02626,0.045367,5
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.31545,0.037403,-1.2876,0.025399,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.191483,0.100534,0.174117,0.013479,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.41225,0.047223,-0.070667,0.017158,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.222583,0.064404,0.449583,0.015477,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,-0.095267,0.054045,0.611883,0.01533,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.006417,0.103557,0.5295,0.01221,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.209517,0.061414,-0.0218,0.018572,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.1609,0.027831,-0.501433,0.00793,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.197317,0.045975,0.017067,0.029607,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,0.3617,0.069236,0.42875,0.008414,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.3379,0.081736,0.5879,0.007075,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.0705,0.066608,0.466833,0.033361,6
REF_1324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.062517,0.09477,-0.005017,0.012452,6
