# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       34    +0.3587    0.1408    +0.3126    0.0117      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal       35    +0.4468    0.1077    -0.3012    0.0436      7

REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         0    +0.6956    0.2618    -0.0791    0.0429      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         1    +0.4177    0.0588    +0.0262    0.0056      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         2    -0.7459    0.1439    +0.0228    0.0109      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         3    -0.0492    0.1111    -0.0026    0.0110      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         4    +0.4158    0.1186    +0.0319    0.0011      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         5    -0.1187    0.0683    +0.0291    0.0313      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         6    +0.4917    0.0996    -0.0161    0.0123      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         7    +0.3076    0.0655    +0.0048    0.0221      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         8    -0.0289    0.0566    -0.0141    0.0284      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal         9    -0.2324    0.0923    -0.0045    0.0112      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        10    -0.0110    0.0759    +0.0131    0.0138      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        11    -0.2373    0.0647    +0.0167    0.0344      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        12    -0.0731    0.2099    -0.0403    0.0263      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        13    +0.1300    0.0636    -0.0243    0.0177      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        14    +0.1867    0.1029    -0.0212    0.0164      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        15    -0.0091    0.1171    +0.0185    0.0080      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        16    +0.7368    0.1340    +0.0246    0.0147      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        17    +0.7255    0.1577    +0.0432    0.0199      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        18    -0.6764    0.0860    -0.0290    0.0161      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        19    -1.5828    0.0906    -0.0152    0.0132      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        20    -0.5341    0.1329    +0.0094    0.0126      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        21    +0.2181    0.1227    +0.0540    0.0159      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        22    +0.4481    0.0859    +0.0645    0.0138      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        23    +0.4561    0.0746    +0.0382    0.0291      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        24    +1.1867    0.1464    -0.0150    0.0246      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        25    -1.5875    0.1103    -0.0107    0.0157      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        26    -1.4719    0.0872    +0.0115    0.0099      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        27    +0.1766    0.1472    +0.0385    0.0015      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        28    +0.1621    0.0305    +0.0176    0.0023      7
REF_0236-28               closepack36         5241     920.5     0.9000     45.0      0.0  lcal        29    +0.3099    0.0655    +0.0194    0.0072      7
